,scene_breaks,has_caps,has_summ,soap_central,soapcentral_condensed,tvmega_recap,tvdb,n_scenes,n_lines,n_chars,n_chars_per_scene,duration_raw,duration,split,usable
atwt-12-21-05,explicit,True,True,True,True,True,True,21,414,15,46.666666666666664,3534.982676,58m 54.98s,train,True
atwt-12-22-03,explicit,False,True,True,True,True,False,25,241,38,44.84,3338.193560,55m 38.19s,nelly-excluded,False
atwt-12-22-05,explicit,True,True,True,True,True,False,24,343,20,44.083333333333336,3534.448617,58m 54.45s,train,True
atwt-12-23-03,explicit,False,True,True,True,True,False,24,300,24,45.916666666666664,3298.162358,54m 58.16s,nelly-excluded,False
atwt-12-23-05,implicit,True,True,True,True,False,False,24,344,20,44.5,3540.462585,59m 0.46s,nelly-excluded,True
atwt-12-24-03,explicit,True,True,True,True,True,False,17,281,31,46.529411764705884,3340.190476,55m 40.19s,train,True
atwt-12-26-05,explicit,True,True,True,True,True,False,28,351,19,44.32142857142857,3534.471837,58m 54.47s,train,True
atwt-12-27-05,explicit,True,True,True,True,True,False,30,376,28,46.03333333333333,3535.981134,58m 55.98s,train,True
atwt-12-28-05,explicit,True,True,True,True,True,False,29,463,25,46.41379310344828,3534.936236,58m 54.94s,train,True
atwt-12-29-03,explicit,False,True,True,True,True,False,26,301,24,45.42307692307692,3339.726077,55m 39.73s,nelly-excluded,False
atwt-12-29-05,implicit,True,True,True,True,False,False,27,453,17,43.96296296296296,3534.495057,58m 54.50s,nelly-excluded,True
bb-01-02-06,explicit,True,True,True,True,False,True,11,168,9,46.45454545454545,1307.956825,21m 47.96s,train,True
bb-01-02-07,explicit,True,True,True,True,True,True,10,150,5,46.2,1332.964967,22m 12.96s,test,True
bb-01-02-14,explicit,True,True,True,True,True,True,16,190,10,46.625,1164.364626,19m 24.36s,train,True
bb-01-02-15,explicit,True,True,True,True,True,True,32,173,11,33.4375,1139.217415,18m 59.22s,test,True
bb-01-02-17,explicit,True,True,True,True,True,False,15,145,6,43.86666666666667,1166.547302,19m 26.55s,train,True
bb-01-03-06,implicit,True,True,True,True,False,True,11,147,7,45.18181818181818,1344.481814,22m 24.48s,train,True
bb-01-03-13,explicit,True,True,True,True,True,True,12,140,10,43.666666666666664,1146.392381,19m 6.39s,train,True
bb-01-03-14,explicit,True,True,True,True,True,True,14,176,8,47.42857142857143,1138.776236,18m 58.78s,train,True
bb-01-03-17,explicit,True,True,True,True,True,False,20,185,7,40.7,1140.610612,19m 0.61s,train,True
bb-01-04-06,implicit,True,True,True,True,False,True,11,127,10,45.0,1346.989569,22m 26.99s,train,True
bb-01-04-07,explicit,True,True,True,True,True,True,10,109,9,44.9,1314.458413,21m 54.46s,test,True
bb-01-04-13,explicit,True,True,True,True,True,True,17,184,15,43.588235294117645,1143.443447,19m 3.44s,train,True
bb-01-04-16,explicit,True,True,True,True,True,True,14,161,9,45.0,1166.384762,19m 26.38s,test,True
bb-01-04-17,explicit,True,True,True,True,True,False,16,171,6,43.5625,1139.914014,18m 59.91s,train,True
bb-01-05-06,implicit,True,True,True,True,False,True,11,150,9,44.63636363636363,1338.491066,22m 18.49s,train,True
bb-01-05-07,explicit,True,True,True,True,True,True,13,155,16,47.15384615384615,1321.470839,22m 1.47s,test,True
bb-01-05-15,explicit,False,True,True,True,True,True,18,154,9,40.833333333333336,1165.200544,19m 25.20s,nelly-excluded,False
bb-01-05-16,explicit,True,True,True,True,True,True,14,198,11,45.07142857142857,1140.657052,19m 0.66s,test,True
bb-01-05-17,explicit,True,True,True,True,True,False,20,163,8,41.55,1140.726712,19m 0.73s,train,True
bb-01-06-03,explicit,True,True,True,True,False,True,19,67,13,34.73684210526316,1134.387664,18m 54.39s,train,True
bb-01-06-06,implicit,True,True,True,True,False,True,8,128,4,45.375,1310.952200,21m 50.95s,train,True
bb-01-06-14,explicit,True,True,False,False,True,True,13,183,12,47.84615384615385,1139.588934,18m 59.59s,train,True
bb-01-06-15,explicit,True,True,True,True,True,True,14,124,7,45.642857142857146,1141.307211,19m 1.31s,test,True
bb-01-06-17,explicit,True,True,True,True,True,False,10,121,8,45.2,1142.979048,19m 2.98s,train,True
bb-01-07-13,explicit,True,True,True,True,True,True,14,158,10,45.07142857142857,1144.558005,19m 4.56s,train,True
bb-01-07-15,explicit,False,True,True,True,True,True,14,148,6,44.0,1146.253061,19m 6.25s,nelly-excluded,False
bb-01-08-07,explicit,True,True,True,True,True,True,12,153,15,46.0,1306.958367,21m 46.96s,test,True
bb-01-08-14,explicit,True,True,False,False,True,True,14,164,7,44.714285714285715,1163.342948,19m 23.34s,train,True
bb-01-08-15,explicit,False,True,True,True,True,True,14,140,7,45.0,1139.588934,18m 59.59s,nelly-excluded,False
bb-01-09-06,implicit,True,True,True,True,False,True,11,125,6,44.09090909090909,1340.487982,22m 20.49s,train,True
bb-01-09-07,explicit,True,True,True,True,True,True,11,162,16,48.72727272727273,1348.986485,22m 28.99s,test,True
bb-01-09-14,explicit,True,True,True,True,True,True,14,117,6,42.92857142857143,1140.053333,19m 0.05s,train,True
bb-01-09-15,explicit,True,True,True,True,True,True,13,131,6,44.15384615384615,1140.494512,19m 0.49s,train,True
bb-01-09-20,explicit,True,True,False,False,True,True,16,131,7,41.375,1136.105941,18m 56.11s,train,True
bb-01-10-06,explicit,True,True,True,True,True,True,11,109,7,46.09090909090909,1304.938231,21m 44.94s,train,True
bb-01-10-14,explicit,True,True,True,True,True,True,14,129,8,43.785714285714285,1138.753016,18m 58.75s,train,True
bb-01-10-17,explicit,True,True,True,True,True,False,13,156,6,44.46153846153846,1143.327347,19m 3.33s,train,True
bb-01-11-06,explicit,True,True,True,True,False,True,13,127,7,42.0,1346.478730,22m 26.48s,train,True
bb-01-11-07,explicit,True,True,True,True,True,True,10,137,11,46.1,1322.515737,22m 2.52s,test,True
bb-01-11-16,explicit,True,True,True,True,True,True,12,140,10,43.5,1140.680272,19m 0.68s,test,True
bb-01-11-17,explicit,True,True,True,True,True,False,23,177,10,40.47826086956522,1143.095147,19m 3.10s,train,True
bb-01-12-06,explicit,True,True,True,True,True,True,10,151,7,46.0,1303.452154,21m 43.45s,train,True
bb-01-12-15,explicit,True,True,True,True,True,True,13,118,7,44.69230769230769,1166.686621,19m 26.69s,train,True
bb-01-12-16,explicit,True,True,True,True,True,True,17,213,8,44.411764705882355,1141.075011,19m 1.08s,test,True
bb-01-12-17,explicit,True,True,True,True,True,False,20,192,8,40.7,1141.957370,19m 1.96s,train,True
bb-01-13-06,explicit,True,True,True,True,True,True,11,115,7,43.90909090909091,1326.463129,22m 6.46s,train,True
bb-01-13-14,explicit,True,True,True,True,True,True,15,169,8,46.13333333333333,1140.982132,19m 0.98s,train,True
bb-01-13-15,explicit,False,True,True,True,True,True,14,173,7,44.285714285714285,1141.376871,19m 1.38s,nelly-excluded,False
bb-01-14-13,implicit,True,True,True,True,False,True,14,84,12,38.92857142857143,1144.790204,19m 4.79s,train,True
bb-01-14-14,explicit,True,True,False,False,True,True,14,258,9,48.5,1138.451156,18m 58.45s,train,True
bb-01-14-15,explicit,True,True,True,True,True,True,12,133,7,43.083333333333336,1140.448073,19m 0.45s,train,True
bb-01-15-07,explicit,True,True,True,True,True,True,9,112,7,44.77777777777778,1307.445986,21m 47.45s,test,True
bb-01-15-13,explicit,True,True,True,True,True,True,14,147,15,40.785714285714285,1142.189569,19m 2.19s,train,True
bb-01-15-14,explicit,True,True,True,True,True,True,17,161,7,41.470588235294116,1161.206712,19m 21.21s,train,True
bb-01-15-15,explicit,True,True,True,True,True,True,11,172,6,43.27272727272727,1141.492971,19m 1.49s,train,True
bb-01-16-06,explicit,True,True,True,True,False,True,13,135,6,38.30769230769231,1358.994286,22m 38.99s,train,True
bb-01-16-07,explicit,True,True,True,True,True,True,12,149,9,43.916666666666664,1355.488073,22m 35.49s,test,True
bb-01-16-13,explicit,True,True,True,True,True,True,16,171,9,42.6875,1142.352109,19m 2.35s,train,True
bb-01-16-14,explicit,True,True,True,True,True,True,18,140,9,41.888888888888886,1136.872200,18m 56.87s,train,True
bb-01-16-15,explicit,True,True,True,True,True,True,26,153,8,38.11538461538461,1140.749932,19m 0.75s,test,True
bb-01-16-17,explicit,True,True,True,True,True,False,15,155,7,44.6,1144.859864,19m 4.86s,train,True
bb-01-17-06,explicit,True,True,True,True,False,True,9,58,6,41.333333333333336,1339.489524,22m 19.49s,train,True
bb-01-17-07,explicit,True,True,True,True,True,True,10,167,11,43.6,1341.486440,22m 21.49s,test,True
bb-01-17-14,explicit,True,True,True,True,True,True,11,180,6,46.72727272727273,1137.615238,18m 57.62s,train,True
bb-01-17-17,explicit,True,True,True,True,True,False,14,119,9,41.714285714285715,1140.540952,19m 0.54s,train,True
bb-01-18-06,explicit,True,True,True,True,False,True,14,75,10,39.857142857142854,1331.966259,22m 11.97s,train,True
bb-01-18-07,explicit,True,True,True,True,True,True,17,148,16,42.64705882352941,1199.449977,19m 59.45s,train,True
bb-01-18-17,explicit,True,True,True,True,True,False,20,133,8,39.7,1166.222222,19m 26.22s,train,True
bb-01-19-06,explicit,True,True,True,True,True,True,11,117,6,44.36363636363637,1361.014422,22m 41.01s,train,True
bb-01-19-07,explicit,True,True,True,True,True,True,15,122,13,43.4,1345.991111,22m 25.99s,test,True
bb-01-19-15,explicit,True,True,True,True,True,True,32,180,12,37.4375,1140.680272,19m 0.68s,test,True
bb-01-19-17,explicit,True,True,True,True,True,False,18,127,6,40.44444444444444,1142.607528,19m 2.61s,train,True
bb-01-20-06,explicit,True,True,True,True,True,True,11,147,8,44.27272727272727,1286.431927,21m 26.43s,train,True
bb-01-20-14,explicit,True,True,True,True,True,True,16,185,8,46.625,1163.366168,19m 23.37s,train,True
bb-01-20-15,explicit,True,True,True,True,True,True,15,247,11,46.86666666666667,1140.146213,19m 0.15s,test,True
bb-01-20-20,explicit,True,True,False,False,True,True,15,144,9,42.46666666666667,1164.805805,19m 24.81s,train,True
bb-01-21-14,explicit,True,True,True,True,True,True,12,191,7,48.166666666666664,1138.776236,18m 58.78s,train,True
bb-01-21-15,explicit,True,True,True,True,True,True,11,190,6,45.90909090909091,1141.609070,19m 1.61s,train,True
bb-01-22-09,explicit,False,True,True,True,True,False,12,198,16,47.083333333333336,52.430658,52.43s,nelly-excluded,False
bb-01-22-14,explicit,True,True,True,True,True,True,18,157,8,37.888888888888886,1138.753016,18m 58.75s,train,True
bb-01-22-15,explicit,True,True,True,True,True,True,19,178,10,41.73684210526316,1119.341134,18m 39.34s,train,True
bb-01-23-07,explicit,True,True,True,True,True,True,11,225,8,47.90909090909091,1251.393016,20m 51.39s,test,True
bb-01-23-14,explicit,True,True,True,True,True,True,14,210,7,44.57142857142857,1137.174059,18m 57.17s,train,True
bb-01-23-17,explicit,True,True,True,True,True,False,23,136,11,37.30434782608695,1141.794830,19m 1.79s,train,True
bb-01-24-06,explicit,True,True,True,True,True,True,13,145,7,43.84615384615385,1330.967800,22m 10.97s,train,True
bb-01-24-07,explicit,True,True,True,True,True,True,12,119,9,44.083333333333336,1325.464671,22m 5.46s,test,True
bb-01-24-14,explicit,True,True,True,True,True,True,16,128,10,40.875,1133.203447,18m 53.20s,train,True
bb-01-25-06,explicit,True,True,True,True,False,True,13,86,8,44.23076923076923,1356.509751,22m 36.51s,train,True
bb-01-25-17,explicit,True,True,True,True,True,False,17,142,11,37.588235294117645,1142.328889,19m 2.33s,train,True
bb-01-26-06,explicit,True,True,True,True,True,True,8,144,11,48.375,1330.480181,22m 10.48s,train,True
bb-01-26-07,explicit,True,True,True,True,True,True,13,183,13,45.61538461538461,1216.354104,20m 16.35s,test,True
bb-01-26-15,explicit,True,True,True,True,True,True,20,148,11,40.65,1166.547302,19m 26.55s,train,True
bb-01-26-17,explicit,True,True,True,True,True,False,17,151,8,45.529411764705884,1141.423311,19m 1.42s,train,True
bb-01-27-14,explicit,True,True,True,True,True,True,15,123,11,42.86666666666667,1138.590476,18m 58.59s,train,True
bb-01-27-15,explicit,True,True,True,True,True,True,8,174,6,48.125,1144.929524,19m 4.93s,train,True
bb-01-28-14,explicit,True,True,True,True,True,True,17,197,12,42.470588235294116,1137.406259,18m 57.41s,train,True
bb-01-28-15,explicit,True,True,True,True,True,True,15,170,6,43.733333333333334,1143.257687,19m 3.26s,test,True
bb-01-29-07,explicit,True,True,True,True,True,True,13,157,12,45.76923076923077,1344.481814,22m 24.48s,test,True
bb-01-29-14,explicit,True,True,True,True,True,True,19,170,8,40.421052631578945,1163.435828,19m 23.44s,train,True
bb-01-29-15,explicit,True,True,True,True,True,True,13,183,9,47.69230769230769,1140.749932,19m 0.75s,train,True
bb-01-30-06,explicit,True,True,True,True,True,True,10,103,13,42.0,1329.481723,22m 9.48s,train,True
bb-01-30-07,explicit,True,True,True,True,True,True,11,132,7,44.81818181818182,1311.950658,21m 51.95s,test,True
bb-01-30-14,explicit,True,True,True,True,True,True,23,226,11,41.391304347826086,1138.242177,18m 58.24s,train,True
bb-01-31-06,explicit,True,True,True,True,True,True,11,104,8,42.81818181818182,1320.960000,22m 0.96s,train,True
bb-01-31-07,explicit,True,True,True,True,True,True,7,219,7,46.42857142857143,1336.470930,22m 16.47s,val,True
bb-01-31-14,explicit,True,True,True,True,True,True,14,165,11,44.42857142857143,1138.660136,18m 58.66s,train,True
bb-01-31-17,explicit,True,True,True,True,True,False,19,171,8,42.578947368421055,1142.979048,19m 2.98s,train,True
bb-02-01-06,explicit,True,True,True,True,True,True,11,129,6,44.45454545454545,1372.508299,22m 52.51s,train,True
bb-02-01-07,explicit,True,True,True,True,True,True,12,149,13,44.75,1323.955967,22m 3.96s,val,True
bb-02-01-17,explicit,True,True,True,True,True,False,19,189,8,42.73684210526316,1141.353651,19m 1.35s,train,True
bb-02-02-07,explicit,True,True,True,True,True,True,11,197,12,45.45454545454545,1339.489524,22m 19.49s,val,True
bb-02-02-15,explicit,True,True,True,True,True,True,16,130,12,41.0,1142.096689,19m 2.10s,train,True
bb-02-02-17,explicit,True,True,True,True,True,False,19,173,14,41.1578947368421,1140.982132,19m 0.98s,train,True
bb-02-03-06,explicit,True,True,True,True,True,True,10,103,7,42.0,1322.469297,22m 2.47s,val,True
bb-02-03-14,explicit,True,True,True,True,True,True,17,161,11,45.94117647058823,1137.638458,18m 57.64s,train,True
bb-02-03-15,explicit,True,True,True,True,True,True,14,204,7,46.5,1140.517732,19m 0.52s,train,True
bb-02-03-17,explicit,True,True,True,True,True,False,27,164,15,39.18518518518518,1167.243900,19m 27.24s,train,True
bb-02-04-14,explicit,True,True,True,True,True,True,14,163,10,45.5,1139.960454,18m 59.96s,train,True
bb-02-04-15,explicit,True,True,True,True,True,True,18,190,9,44.44444444444444,1143.513107,19m 3.51s,train,True
bb-02-05-14,explicit,True,True,True,True,True,True,16,148,8,43.0,1141.423311,19m 1.42s,train,True
bb-02-05-15,explicit,True,True,True,True,True,True,15,165,10,47.2,1166.338322,19m 26.34s,train,True
bb-02-06-06,explicit,True,True,True,True,True,True,8,107,5,45.0,1329.481723,22m 9.48s,train,True
bb-02-06-07,explicit,True,True,True,True,True,True,13,183,9,44.84615384615385,1351.494240,22m 31.49s,val,True
bb-02-06-14,explicit,True,True,True,True,True,True,14,192,9,45.42857142857143,1139.356735,18m 59.36s,train,True
bb-02-06-15,explicit,True,True,True,True,True,True,18,152,12,42.05555555555556,1141.446531,19m 1.45s,val,True
bb-02-06-17,explicit,True,True,True,True,True,False,17,159,7,41.88235294117647,1141.539410,19m 1.54s,train,True
bb-02-07-06,explicit,True,True,True,True,True,True,8,163,7,48.625,1333.986395,22m 13.99s,val,True
bb-02-07-14,explicit,True,True,True,True,True,True,11,154,8,45.90909090909091,1165.386304,19m 25.39s,train,True
bb-02-07-17,explicit,True,True,True,True,True,False,18,165,9,43.611111111111114,1166.779501,19m 26.78s,train,True
bb-02-08-06,explicit,False,True,True,True,True,True,8,100,12,46.5,1370.511383,22m 50.51s,nelly-excluded,False
bb-02-08-07,explicit,True,True,True,True,True,True,12,171,10,44.833333333333336,1338.491066,22m 18.49s,val,True
bb-02-08-17,explicit,True,True,True,True,True,False,21,194,9,42.76190476190476,1141.446531,19m 1.45s,train,True
bb-02-09-06,explicit,False,True,True,True,True,True,9,107,12,43.44444444444444,1358.994286,22m 38.99s,nelly-excluded,False
bb-02-09-15,explicit,True,True,True,True,True,True,16,124,9,40.625,1166.477642,19m 26.48s,train,True
bb-02-09-17,explicit,True,True,True,True,True,False,33,206,13,35.60606060606061,1141.214331,19m 1.21s,train,True
bb-02-10-14,explicit,True,True,True,True,True,True,13,178,9,46.07692307692308,1139.983673,18m 59.98s,train,True
bb-02-10-15,explicit,True,True,True,True,True,True,20,240,9,43.8,1145.997642,19m 6.00s,val,True
bb-02-10-17,explicit,True,True,True,True,True,False,18,165,11,40.111111111111114,1141.423311,19m 1.42s,train,True
bb-02-11-14,explicit,True,True,True,True,True,True,15,196,7,44.13333333333333,1138.451156,18m 58.45s,train,True
bb-02-11-15,explicit,True,True,True,True,True,True,12,189,7,44.916666666666664,1141.121451,19m 1.12s,val,True
bb-02-12-07,explicit,True,True,True,True,True,True,14,163,13,44.214285714285715,1318.963084,21m 58.96s,val,True
bb-02-12-14,explicit,True,True,True,True,True,True,14,155,6,45.0,1140.726712,19m 0.73s,train,True
bb-02-12-15,explicit,True,True,True,True,True,True,18,215,8,45.05555555555556,1139.612154,18m 59.61s,val,True
bb-02-13-06,explicit,True,True,True,True,True,True,12,153,6,42.916666666666664,1316.455329,21m 56.46s,train,True
bb-02-13-07,explicit,True,True,True,True,True,True,12,211,20,48.333333333333336,1355.998912,22m 36.00s,val,True
bb-02-13-14,explicit,True,True,True,True,True,True,16,175,11,45.4375,1164.968345,19m 24.97s,train,True
bb-02-13-15,explicit,True,True,True,True,True,True,18,142,9,41.611111111111114,1144.929524,19m 4.93s,val,True
bb-02-13-17,explicit,True,True,True,True,True,False,24,193,12,38.166666666666664,1141.376871,19m 1.38s,train,True
bb-02-14-06,explicit,True,True,True,True,True,True,9,126,7,45.333333333333336,1358.506667,22m 38.51s,train,True
bb-02-14-07,explicit,True,True,True,True,True,True,10,164,15,47.2,1315.456871,21m 55.46s,val,True
bb-02-14-14,explicit,True,True,True,True,True,True,18,182,8,42.44444444444444,1138.544036,18m 58.54s,train,True
bb-02-14-17,explicit,True,True,True,True,True,False,46,240,23,34.82608695652174,1141.283991,19m 1.28s,train,True
bb-02-15-07,explicit,True,True,True,True,True,True,10,145,5,45.3,1330.480181,22m 10.48s,val,True
bb-02-16-06,explicit,True,True,True,True,True,True,12,111,8,41.416666666666664,1337.980227,22m 17.98s,train,True
bb-02-16-07,explicit,True,True,True,True,True,True,9,200,5,46.111111111111114,1136.616780,18m 56.62s,train,True
bb-02-16-15,explicit,True,True,True,True,True,False,19,185,12,45.0,1140.239100,19m 0.24s,train,True
bb-02-16-17,explicit,True,True,True,True,True,False,54,199,21,31.38888888888889,1140.540952,19m 0.54s,train,True
bb-02-17-14,explicit,True,True,True,True,True,True,13,192,12,47.23076923076923,1140.448073,19m 0.45s,train,True
bb-02-17-15,explicit,True,True,True,True,True,True,10,177,13,47.4,1140.610612,19m 0.61s,train,True
bb-02-17-17,explicit,True,True,True,True,True,False,15,161,7,44.86666666666667,1165.734603,19m 25.73s,train,True
bb-02-18-14,explicit,True,True,True,True,True,True,17,185,10,44.11764705882353,1140.192653,19m 0.19s,train,True
bb-02-18-15,explicit,True,True,True,True,True,True,20,127,11,33.1,1141.585850,19m 1.59s,val,True
bb-02-19-14,explicit,True,True,True,True,True,True,16,218,13,44.875,1139.240635,18m 59.24s,train,True
bb-02-19-15,explicit,True,True,True,True,True,True,14,231,8,47.285714285714285,1140.958912,19m 0.96s,val,True
bb-02-20-06,explicit,True,True,True,True,True,True,10,105,13,38.8,1335.983311,22m 15.98s,train,True
bb-02-20-07,explicit,True,True,True,True,True,True,11,186,9,47.27272727272727,1323.467755,22m 3.47s,val,True
bb-02-20-15,explicit,True,True,True,True,True,True,18,196,9,43.22222222222222,1165.920363,19m 25.92s,val,True
bb-02-20-17,explicit,True,True,True,True,True,False,17,174,7,43.23529411764706,1141.748390,19m 1.75s,train,True
bb-02-21-06,explicit,True,True,True,True,True,True,14,119,7,40.42857142857143,1288.428844,21m 28.43s,train,True
bb-02-21-07,explicit,True,True,True,True,True,True,12,185,6,44.25,1334.984853,22m 14.98s,val,True
bb-02-21-14,explicit,True,True,True,True,True,True,12,214,15,44.583333333333336,1139.774694,18m 59.77s,train,True
bb-02-21-17,explicit,True,True,True,True,True,False,23,184,12,40.0,1140.773152,19m 0.77s,train,True
bb-02-22-06,explicit,True,True,True,True,False,True,20,74,16,31.7,1320.472381,22m 0.47s,train,True
bb-02-22-07,explicit,True,True,True,True,True,True,11,156,7,44.81818181818182,1318.452245,21m 58.45s,val,True
bb-02-22-17,explicit,False,True,True,True,True,False,24,185,9,40.041666666666664,28.932063,28.93s,nelly-excluded,False
bb-02-23-06,explicit,True,True,True,True,True,True,10,117,6,42.2,1323.955967,22m 3.96s,train,True
bb-02-23-07,explicit,True,True,True,True,True,True,9,149,4,45.55555555555556,1321.470839,22m 1.47s,val,True
bb-02-23-15,explicit,True,True,True,True,True,True,33,151,12,35.303030303030305,1145.254603,19m 5.25s,train,True
bb-02-23-17,explicit,True,True,True,True,True,False,21,168,8,38.80952380952381,1141.214331,19m 1.21s,train,True
bb-02-24-06,explicit,True,True,True,True,False,True,7,109,7,47.857142857142854,1321.958458,22m 1.96s,train,True
bb-02-24-14,explicit,True,True,True,True,True,True,12,150,8,42.75,1165.246984,19m 25.25s,train,True
bb-02-24-15,explicit,True,True,True,True,True,True,13,217,7,47.61538461538461,1139.124535,18m 59.12s,train,True
bb-02-24-17,explicit,True,True,True,True,True,False,17,214,11,44.76470588235294,1166.454422,19m 26.45s,train,True
bb-02-25-14,explicit,True,True,True,True,True,True,11,179,7,48.18181818181818,1140.680272,19m 0.68s,train,True
bb-02-25-15,explicit,True,True,True,True,True,True,22,186,8,40.77272727272727,1140.540952,19m 0.54s,val,True
bb-02-26-07,explicit,True,True,True,True,True,True,15,165,9,42.46666666666667,1239.388299,20m 39.39s,val,True
bb-02-26-14,explicit,True,True,True,True,True,True,13,171,9,46.53846153846154,1143.977506,19m 3.98s,train,True
bb-02-26-15,explicit,True,True,True,True,True,True,16,244,11,45.875,1140.215873,19m 0.22s,train,True
bb-02-27-06,explicit,True,True,True,True,True,True,7,110,5,43.285714285714285,1379.033107,22m 59.03s,train,True
bb-02-27-07,explicit,True,True,True,True,True,True,14,177,11,44.42857142857143,1134.991383,18m 54.99s,train,True
bb-02-27-14,explicit,True,True,True,True,True,True,16,195,9,46.75,1141.121451,19m 1.12s,train,True
bb-02-27-15,explicit,True,True,True,True,True,False,15,223,6,45.6,1168.776417,19m 28.78s,train,True
bb-02-27-17,explicit,True,True,True,True,True,False,30,236,17,36.2,1142.143129,19m 2.14s,train,True
bb-02-28-06,implicit,True,True,True,True,False,True,10,158,13,47.2,1337.469467,22m 17.47s,train,True
bb-02-28-07,explicit,True,True,True,True,True,True,14,167,8,44.142857142857146,1341.486440,22m 21.49s,val,True
bb-02-28-14,explicit,True,True,True,True,True,True,10,211,8,47.3,1141.655510,19m 1.66s,train,True
bb-03-01-06,explicit,True,True,True,True,False,True,14,84,9,36.357142857142854,1335.472472,22m 15.47s,train,True
bb-03-01-07,explicit,True,True,True,True,True,True,11,150,8,45.27272727272727,1360.503583,22m 40.50s,val,True
bb-03-01-17,explicit,True,True,True,True,True,False,2,230,17,58.0,1141.423311,19m 1.42s,train,True
bb-03-02-06,explicit,True,True,True,True,True,True,5,142,13,44.4,1258.405442,20m 58.41s,train,True
bb-03-02-07,explicit,True,True,True,True,True,True,15,176,11,42.93333333333333,1335.472472,22m 15.47s,val,True
bb-03-02-15,explicit,True,True,True,True,True,True,21,162,8,40.333333333333336,1138.683356,18m 58.68s,val,True
bb-03-03-06,explicit,True,True,True,True,True,True,12,123,13,44.083333333333336,1342.995737,22m 23.00s,val,True
bb-03-03-14,explicit,True,True,True,True,True,True,10,181,6,46.4,1152.058050,19m 12.06s,train,True
bb-03-03-15,explicit,True,True,True,True,True,True,14,167,7,46.0,1140.424853,19m 0.42s,val,True
bb-03-04-14,explicit,True,True,True,True,True,True,16,154,7,40.625,1168.637098,19m 28.64s,train,True
bb-03-04-15,explicit,False,True,True,True,True,True,23,178,9,37.04347826086956,1141.075011,19m 1.08s,nelly-excluded,False
bb-03-05-07,explicit,True,True,True,True,True,True,12,185,8,45.666666666666664,1336.981769,22m 16.98s,val,True
bb-03-05-14,explicit,True,True,True,True,True,True,13,197,7,44.23076923076923,1140.749932,19m 0.75s,train,True
bb-03-05-15,explicit,True,True,True,True,True,True,14,184,6,45.0,1144.395465,19m 4.40s,train,True
bb-03-06-06,explicit,True,True,True,True,True,True,12,110,13,44.5,1345.991111,22m 25.99s,val,True
bb-03-06-07,explicit,True,True,True,True,True,True,12,180,7,45.833333333333336,1320.960000,22m 0.96s,val,True
bb-03-06-14,explicit,True,True,True,True,True,True,9,159,5,47.333333333333336,1140.239100,19m 0.24s,train,True
bb-03-06-15,explicit,True,True,True,True,True,True,24,215,9,39.916666666666664,1164.805805,19m 24.81s,train,True
bb-03-06-17,explicit,True,True,True,True,True,False,26,188,9,38.96153846153846,1164.945125,19m 24.95s,train,True
bb-03-07-06,explicit,True,True,True,True,True,True,10,134,11,44.8,1309.442902,21m 49.44s,val,True
bb-03-07-07,explicit,True,True,True,True,True,True,20,122,7,35.95,1374.017596,22m 54.02s,val,True
bb-03-07-14,explicit,True,True,True,True,True,True,15,183,8,43.266666666666666,1141.794830,19m 1.79s,train,True
bb-03-07-17,explicit,True,True,True,True,True,False,18,175,6,39.72222222222222,1142.096689,19m 2.10s,train,True
bb-03-08-06,explicit,True,True,True,True,True,True,14,136,6,40.07142857142857,1255.410068,20m 55.41s,val,True
bb-03-08-07,explicit,True,True,True,True,True,True,12,103,8,42.166666666666664,1327.972426,22m 7.97s,val,True
bb-03-08-12,explicit,True,True,True,True,True,False,13,202,7,46.30769230769231,59.001905,59.00s,train,True
bb-03-08-17,explicit,True,True,True,True,True,False,32,250,16,36.0625,1140.401633,19m 0.40s,train,True
bb-03-09-07,explicit,True,True,True,True,True,True,14,204,13,45.0,1348.498866,22m 28.50s,val,True
bb-03-09-15,explicit,True,True,True,True,True,True,17,188,9,42.529411764705884,1139.542494,18m 59.54s,train,True
bb-03-10-06,explicit,True,True,True,True,True,True,14,118,10,42.285714285714285,1362.500499,22m 42.50s,val,True
bb-03-10-14,explicit,True,True,True,True,True,True,10,130,11,45.6,1167.383220,19m 27.38s,train,True
bb-03-10-15,explicit,True,True,True,True,True,True,20,165,9,41.65,1138.683356,18m 58.68s,train,True
bb-03-11-14,explicit,True,True,True,True,True,True,13,190,10,47.0,1142.027029,19m 2.03s,train,True
bb-03-11-15,explicit,True,True,True,True,True,True,22,143,13,36.95454545454545,1148.458957,19m 8.46s,val,True
bb-03-12-07,explicit,True,True,True,True,True,True,10,193,11,47.3,1336.470930,22m 16.47s,val,True
bb-03-12-14,explicit,True,True,True,True,True,True,12,208,7,47.583333333333336,1141.980590,19m 1.98s,train,True
bb-03-12-15,explicit,True,True,True,True,True,True,23,153,13,41.17391304347826,1145.579683,19m 5.58s,val,True
bb-03-13-06,explicit,True,True,True,True,True,True,14,144,9,42.285714285714285,1324.977052,22m 4.98s,val,True
bb-03-13-07,explicit,True,True,True,True,True,True,9,151,8,46.111111111111114,1334.474014,22m 14.47s,val,True
bb-03-13-14,explicit,True,True,True,True,True,True,18,213,10,44.22222222222222,1139.681814,18m 59.68s,train,True
bb-03-13-15,explicit,True,True,True,True,True,False,22,135,10,37.31818181818182,1166.477642,19m 26.48s,train,True
